ngram,year,frequency
equity,1800,2.146146107406821e-05
equity,1801,1.459835038986057e-05
equity,1802,1.7965414372156374e-05
equity,1803,1.3999042494106106e-05
equity,1804,1.7435055269743316e-05
equity,1805,2.0084007701370865e-05
equity,1806,1.965599767572712e-05
equity,1807,2.2260897821979597e-05
equity,1808,1.721402077237144e-05
equity,1809,2.140872493328061e-05
equity,1810,1.613639688002877e-05
equity,1811,2.284152651554905e-05
equity,1812,2.1834006474819034e-05
equity,1813,2.3013126337900758e-05
equity,1814,2.0990957636968233e-05
equity,1815,1.6343637980753556e-05
equity,1816,2.482296258676797e-05
equity,1817,2.4772405595285818e-05
equity,1818,2.741555181273725e-05
equity,1819,2.50493594649015e-05
equity,1820,1.9936975149903446e-05
equity,1821,2.5731607820489444e-05
equity,1822,2.763398879324086e-05
equity,1823,2.5835734049906023e-05
equity,1824,2.824362672981806e-05
equity,1825,2.1232797735137865e-05
equity,1826,2.991014116560109e-05
equity,1827,3.05085486616008e-05
equity,1828,3.281148019596003e-05
equity,1829,2.3603901354363188e-05
equity,1830,2.3637558115296997e-05
equity,1831,2.836136263795197e-05
equity,1832,4.245515083312057e-05
equity,1833,2.2076057575759478e-05
equity,1834,2.301019230799284e-05
equity,1835,2.1724692487623543e-05
equity,1836,2.637844590935856e-05
equity,1837,2.8791984732379206e-05
equity,1838,2.277140629303176e-05
equity,1839,2.6272464310750365e-05
equity,1840,2.6066933060064912e-05
equity,1841,2.5037439627340063e-05
equity,1842,2.0451212549232878e-05
equity,1843,2.6451383746461943e-05
equity,1844,2.6244822947774082e-05
equity,1845,2.5734480004757643e-05
equity,1846,3.219027348677628e-05
equity,1847,2.7750547815230675e-05
equity,1848,2.5402441679034382e-05
equity,1849,2.6712816179497167e-05
equity,1850,2.6854706447920762e-05
equity,1851,2.813030187098775e-05
equity,1852,2.5822653697105125e-05
equity,1853,2.625983142934274e-05
equity,1854,2.4369162929360755e-05
equity,1855,2.5999770514317788e-05
equity,1856,2.5580056899343617e-05
equity,1857,2.434007910778746e-05
equity,1858,2.6651619918993674e-05
equity,1859,2.8586255211848766e-05
equity,1860,2.846297138603404e-05
equity,1861,2.3739847165415995e-05
equity,1862,2.0505542124737985e-05
equity,1863,2.2209940652828664e-05
equity,1864,2.357691846555099e-05
equity,1865,2.0423811292857863e-05
equity,1866,2.6291112590115517e-05
equity,1867,2.4544611733290367e-05
equity,1868,2.306724309164565e-05
equity,1869,2.4585284336353652e-05
equity,1870,2.8753223887179047e-05
equity,1871,2.740199488471262e-05
equity,1872,2.7048125048168004e-05
equity,1873,3.3270967833232135e-05
equity,1874,2.8416592613211833e-05
equity,1875,2.810921250784304e-05
equity,1876,2.773346750473138e-05
equity,1877,3.527886656229384e-05
equity,1878,3.3687079849187285e-05
equity,1879,3.312565604574047e-05
equity,1880,3.100377580267377e-05
equity,1881,3.220434518880211e-05
equity,1882,3.373578510945663e-05
equity,1883,3.3684777008602396e-05
equity,1884,3.471710442681797e-05
equity,1885,3.281314275227487e-05
equity,1886,4.351369716459885e-05
equity,1887,3.927284706151113e-05
equity,1888,3.803555591730401e-05
equity,1889,3.133048812742345e-05
equity,1890,3.0396231522900052e-05
equity,1891,2.8102154828957282e-05
equity,1892,3.09429487970192e-05
equity,1893,2.9339938919292763e-05
equity,1894,3.188328264513984e-05
equity,1895,3.481827661744319e-05
equity,1896,3.073110929108225e-05
equity,1897,3.03004799206974e-05
equity,1898,3.065277633140795e-05
equity,1899,2.8273521820665337e-05
equity,1900,2.719677831919398e-05
equity,1901,3.154267687932588e-05
equity,1902,2.7261992727289908e-05
equity,1903,2.9781675038975663e-05
equity,1904,2.9956574508105405e-05
equity,1905,3.376652966835536e-05
equity,1906,3.3062391594285145e-05
equity,1907,2.8610991648747586e-05
equity,1908,2.7452691938378848e-05
equity,1909,2.6136964152101427e-05
equity,1910,3.1667714210925624e-05
equity,1911,2.7851514460053295e-05
equity,1912,2.875143036362715e-05
equity,1913,2.349090027564671e-05
equity,1914,2.7701535145752132e-05
equity,1915,2.888781818910502e-05
equity,1916,2.5866780561045744e-05
equity,1917,2.571022923802957e-05
equity,1918,2.6735995561466552e-05
equity,1919,2.276115628774278e-05
equity,1920,2.3818964109523222e-05
equity,1921,2.282634341099765e-05
equity,1922,2.269086689921096e-05
equity,1923,2.2332567823468708e-05
equity,1924,2.1453879526234232e-05
equity,1925,1.9162169337505475e-05
equity,1926,2.309163028257899e-05
equity,1927,1.8566444850875996e-05
equity,1928,2.4988958102767356e-05
equity,1929,1.891158171929419e-05
equity,1930,1.7826729163061827e-05
equity,1931,2.0642151866923086e-05
equity,1932,2.2400485249818303e-05
equity,1933,2.0611545551219024e-05
equity,1934,2.140679134754464e-05
equity,1935,2.111235517077148e-05
equity,1936,2.3782733478583395e-05
equity,1937,2.1128025764483027e-05
equity,1938,2.2051821360946633e-05
equity,1939,2.1773108528577723e-05
equity,1940,2.201257666456513e-05
equity,1941,2.575757935119327e-05
equity,1942,1.8751050447463058e-05
equity,1943,1.9229961253586225e-05
equity,1944,1.479728234698996e-05
equity,1945,1.5080950106494129e-05
equity,1946,1.698039341135882e-05
equity,1947,1.535265619168058e-05
equity,1948,1.6106339899124578e-05
equity,1949,1.5951180103002116e-05
equity,1950,1.4924176866770722e-05
equity,1951,1.3900282283429988e-05
equity,1952,1.610605977475643e-05
equity,1953,1.3462463357427623e-05
equity,1954,1.475825411034748e-05
equity,1955,1.4095306141825859e-05
equity,1956,1.3303500054462347e-05
equity,1957,1.53523069457151e-05
equity,1958,1.4711463336425368e-05
equity,1959,1.531627458462026e-05
equity,1960,1.6715524907340296e-05
equity,1961,1.509175399405649e-05
equity,1962,1.3643360944115557e-05
equity,1963,1.4306127013696823e-05
equity,1964,1.3614184354082681e-05
equity,1965,1.2525287274911534e-05
equity,1966,1.3687297723663505e-05
equity,1967,1.5098625226528384e-05
equity,1968,1.403073656547349e-05
equity,1969,1.5631618225597776e-05
equity,1970,1.5576133591821417e-05
equity,1971,1.7257520084967837e-05
equity,1972,1.7451990061090328e-05
equity,1973,1.9627615984063596e-05
equity,1974,2.0222823877702467e-05
equity,1975,2.230536483693868e-05
equity,1976,2.199599657615181e-05
equity,1977,2.244674578832928e-05
equity,1978,2.3110835172701627e-05
equity,1979,2.2606698621530086e-05
equity,1980,2.3700971723883413e-05
equity,1981,2.4357754227821715e-05
equity,1982,2.470122853992507e-05
equity,1983,2.5934568839147687e-05
equity,1984,2.5989847927121446e-05
equity,1985,2.598754690552596e-05
equity,1986,2.6750649340101518e-05
equity,1987,2.7093801691080444e-05
equity,1988,2.9120594263076782e-05
equity,1989,2.8166006813989952e-05
equity,1990,2.865379246941302e-05
equity,1991,2.905670589825604e-05
equity,1992,2.9760642064502463e-05
equity,1993,2.994962596858386e-05
equity,1994,2.8950194973731413e-05
equity,1995,2.9094042474753223e-05
equity,1996,2.7923575544264168e-05
equity,1997,2.995801332872361e-05
equity,1998,2.8378190108924173e-05
equity,1999,2.939267869805917e-05
equity,2000,2.8496424420154653e-05
equity,2001,2.9311593607417308e-05
equity,2002,2.921348095696885e-05
equity,2003,2.8716933229588903e-05
equity,2004,2.8468250093283132e-05
equity,2005,2.954747833427973e-05
equity,2006,2.910351031459868e-05
equity,2007,3.092948827543296e-05
equity,2008,3.0306453481898643e-05
equity,2009,2.734427835093811e-05
equity,2010,2.5348188501084223e-05
equity,2011,2.286120979988482e-05
equity,2012,2.087298344122246e-05
equity,2013,2.0056078938068822e-05
equity,2014,1.893447551992722e-05
equity,2015,2.1167579689063132e-05
equity,2016,2.157112794520799e-05
equity,2017,1.8845536033040844e-05
equity,2018,1.635027365409769e-05
equity,2019,1.9081184291280806e-05
equality,1800,1.2540351235656999e-05
equality,1801,1.6668205716996454e-05
equality,1802,1.4857632777420804e-05
equality,1803,1.251499452337157e-05
equality,1804,1.4607222510676365e-05
equality,1805,1.4528921383316629e-05
equality,1806,1.4105635273153894e-05
equality,1807,1.33599560285802e-05
equality,1808,1.0390216630185023e-05
equality,1809,1.2097042599634733e-05
equality,1810,9.898883945425041e-06
equality,1811,9.970925930247176e-06
equality,1812,1.0201445547863841e-05
equality,1813,1.124035225075204e-05
equality,1814,1.2042646631016396e-05
equality,1815,1.1006599379470572e-05
equality,1816,1.0334641046938486e-05
equality,1817,1.5807474483153783e-05
equality,1818,1.3256212696433067e-05
equality,1819,1.1871722563228104e-05
equality,1820,1.1621305930020753e-05
equality,1821,1.1360657481418457e-05
equality,1822,1.2008465091639664e-05
equality,1823,1.2865246389992535e-05
equality,1824,1.1542758329596836e-05
equality,1825,1.3155758097127546e-05
equality,1826,1.3988546925247647e-05
equality,1827,1.250535024155397e-05
equality,1828,1.3028869034314994e-05
equality,1829,1.3496593965101056e-05
equality,1830,1.2392662938509602e-05
equality,1831,1.2342208719928749e-05
equality,1832,1.3835248864779714e-05
equality,1833,1.354410960630048e-05
equality,1834,1.2265253644727636e-05
equality,1835,1.3005132132093422e-05
equality,1836,1.654390143812634e-05
equality,1837,1.3019768630329054e-05
equality,1838,1.2667464034166187e-05
equality,1839,1.3239216059446335e-05
equality,1840,1.4661904970125761e-05
equality,1841,1.3555223631556146e-05
equality,1842,1.2545086065074429e-05
equality,1843,1.3910085726820398e-05
equality,1844,1.1975688721577171e-05
equality,1845,1.3634152310260106e-05
equality,1846,1.1791808901762124e-05
equality,1847,1.1385008292563725e-05
equality,1848,1.466684443585109e-05
equality,1849,1.3604996638605371e-05
equality,1850,1.3408050108409952e-05
equality,1851,1.2487384083215147e-05
equality,1852,1.2867878467659466e-05
equality,1853,1.3406214748101775e-05
equality,1854,1.3019831385463476e-05
equality,1855,1.2443151717889123e-05
equality,1856,1.3787596799375024e-05
equality,1857,1.2084135960321873e-05
equality,1858,1.1576636097743176e-05
equality,1859,1.1437285138526931e-05
equality,1860,1.3171304999559652e-05
equality,1861,1.2255608453415334e-05
equality,1862,1.1640194315987173e-05
equality,1863,1.3118117749399971e-05
equality,1864,1.2572749255923554e-05
equality,1865,1.176831210614182e-05
equality,1866,1.3145723642082885e-05
equality,1867,1.193555181089323e-05
equality,1868,1.4004116565047298e-05
equality,1869,1.4708744856761768e-05
equality,1870,1.2246497135492973e-05
equality,1871,1.1776559404097497e-05
equality,1872,1.2932036042911932e-05
equality,1873,1.2286544006201439e-05
equality,1874,1.166578022093745e-05
equality,1875,1.0457715688971803e-05
equality,1876,1.0669323273759801e-05
equality,1877,1.0575759006314911e-05
equality,1878,1.1185595212737098e-05
equality,1879,1.0331543307984248e-05
equality,1880,1.0449745786900166e-05
equality,1881,1.0890397788898554e-05
equality,1882,9.784910616872367e-06
equality,1883,9.978082744055428e-06
equality,1884,1.0418445526738651e-05
equality,1885,1.0097852282342501e-05
equality,1886,1.0772290806926321e-05
equality,1887,9.453529855818488e-06
equality,1888,1.0190653483732603e-05
equality,1889,1.04690516309347e-05
equality,1890,1.0942195331153926e-05
equality,1891,9.899349606712349e-06
equality,1892,1.0276943612552714e-05
equality,1893,1.0252520041831303e-05
equality,1894,1.1182853086211253e-05
equality,1895,1.0183671292907093e-05
equality,1896,9.653294000599999e-06
equality,1897,9.861546459433157e-06
equality,1898,9.828965630731545e-06
equality,1899,9.910587323247455e-06
equality,1900,1.0421447768749204e-05
equality,1901,9.963111551769543e-06
equality,1902,9.705225238576531e-06
equality,1903,9.736767424328718e-06
equality,1904,9.308168955612928e-06
equality,1905,8.975481250672601e-06
equality,1906,9.118832167587243e-06
equality,1907,9.079183655558154e-06
equality,1908,9.637221410230268e-06
equality,1909,8.867916221788619e-06
equality,1910,9.182846042676829e-06
equality,1911,8.739210898056626e-06
equality,1912,9.549081369186752e-06
equality,1913,9.394605513080023e-06
equality,1914,9.534948731015902e-06
equality,1915,8.070184776443057e-06
equality,1916,8.516469279129524e-06
equality,1917,8.989740308606997e-06
equality,1918,1.0422968443890568e-05
equality,1919,1.081878235709155e-05
equality,1920,1.0983058928104583e-05
equality,1921,1.0426938388263807e-05
equality,1922,9.71242661762517e-06
equality,1923,9.979542483051773e-06
equality,1924,1.1245458154007792e-05
equality,1925,1.0336102604924235e-05
equality,1926,1.0826350262505002e-05
equality,1927,1.0677923455659766e-05
equality,1928,1.0810039384523407e-05
equality,1929,1.1789050404331647e-05
equality,1930,1.1051079127355479e-05
equality,1931,1.0693178410292603e-05
equality,1932,1.1556014214875177e-05
equality,1933,1.1640962839010172e-05
equality,1934,1.2210731256345753e-05
equality,1935,1.2046777555951849e-05
equality,1936,1.1494455065985676e-05
equality,1937,1.1596681360970251e-05
equality,1938,1.1440079106250778e-05
equality,1939,1.1198510946996976e-05
equality,1940,1.0982173989759758e-05
equality,1941,1.1180722140124999e-05
equality,1942,1.2552513908303808e-05
equality,1943,1.410388449585298e-05
equality,1944,1.3397669135883916e-05
equality,1945,1.4149887647363357e-05
