id,title,year,doctype,abstract,lang
31174902,,2019,Report,"This poverty and equity brief
            explains about the progress of Belarus in reducing poverty
            as of April 2019. The economic contraction in 2015 and 2016
            led to an uptick in poverty from 0.4 percent in 2014 to 0.8
            percent in 2017 following fifteen years of consecutive
            poverty reduction. Still, the absolute number of people
            below the upper middle-income class poverty line remains
            low. The national poverty rate similarly increased from 4.8
            percent in 2014 to 5.9 percent in 2017. The rise in poverty
            was because of falling labor incomes, primarily through real
            declines in wage income. Increases in the price of utilities
            also eroded household purchasing power. Growth over the past
            decade was widely shared and did not result in increases in
            inequality in Belarus. The Gini index, at 25.4 in 2017, has
            declined slowly over the past de",English
31174978,,2018,Report,"In Ukraine, moderate poverty
            (according to the international measure of consumption per
            capita below dollar 5.50 per day in 2011 PPP) has started to
            decline, reaching an estimated 6.4 percent in 2016. This
            follows a doubling of the poverty incidence from 3.5 in 2014
            to 7.8 percent in 2015 due to the sharp recession and high
            inflation in This recent decline in poverty was driven by a
            rebound in the real sector including real wage growth,
            though poverty levels remain high compared to historical
            trends. A more marginal decrease in poverty over the period
            2015-16 from 51.9 to 51.1 percent, is observed when using a
            non-official national poverty measure calculated by the
            National Statistics Services. Such a national poverty
            measure is constant in terms of purchasing power, and thus
            suitable for monitoring trends over time, unl",English
31174941,,2018,Report,"This poverty and equity brief
            explains about the progress of Belarus in reducing poverty
            as of October 2018. The economic contraction in 2015 and
            2016 led to an uptick in poverty from 0.4 percent in 2014 to
            0.7 percent in 2016 following fifteen years of consecutive
            poverty reduction. Still, the absolute number of people
            below the upper middle income class poverty line remains
            low. The increase in poverty was observed primarily in rural
            areas, and in the Brest region, where the poverty rate
            increased by 1.7 percentage points between 2014 and 2016.
            The national poverty rate similarly increased from 4.8
            percent in 2014 to 5.9 percent in 2017. The rise in poverty
            was because of falling labor incomes, primarily through real
            declines in wage income. Increases in the price of utilities
            also eroded household purchasing power. T ",English
20236163,,2014,Working Paper,"This report analyses equity and
            financial protection in the health sector of Timor-Leste. It
            is part of a series of short country-specific volumes that
            provide a picture of equity and financial protection in the
            health sectors of low- and middle-income countries. In
            particular, it examines inequalities in health outcomes,
            health behavior and health care utilization; benefit
            incidence analysis; financial protection; and the
            progressivity of health care financing. Data are drawn from
            the 2009/2010 Demographic and Health Survey, the 2001-2002
            and 2007-2008 Living Standards and Measurement Surveys as
            well as 2011-2012 Household Income Expenditure Survey, and
            the Ministry of Finance. All analyses are conducted using
            original data and performed using the health modules of the
            ADePT software.",English
31174983,,2018,Report,"In Ukraine, moderate poverty
            (according to the international measure of consumption per
            capita below dollar 5.50 per day in 2011 PPP) has started to
            decline, reaching an estimated 6.4 percent in 2016. This
            follows a doubling of the poverty incidence from 3.5 in 2014
            to 7.8 percent in 2015 due to the sharp recession and high
            inflation in 2014-2015. This recent decline in poverty was
            driven by a rebound in the real sector including real wage
            growth, though poverty levels remain high compared to
            historical trends. According to a non-official national
            poverty measure calculated by the National Statistical
            Services, poverty declined further from 51.1 percent in 2016
            to 34.9 percent in 2017. Such a national poverty measure is
            constant in terms of purchasing power, and thus suitable for
            monitoring trends over time, unlike the o",English
31174930,,2018,Report,"This poverty and equity brief
            explains about the progress of Belarus in reducing poverty
            as of April 2018. The economic contraction in 2015 and 2016
            led to an uptick in poverty from 0.4 percent in 2014 to 0.7
            percent in 2016 following fifteen years of consecutive
            poverty reduction. Still, the absolute number of people
            below the upper middle income class poverty line remains
            low. The increase in poverty was observed primarily in rural
            areas, and in the Brest region, where the poverty rate
            increased by 1.7 percentage points between 2014 and 2016.
            The rise in poverty was because of falling labor incomes,
            primarily through real declines in wage income. Increases in
            utilities prices also eroded household purchasing power.
            Growth over the past decade was widely shared and did not
            result in increases in inequality in Belarus. T",English
31174986,,2019,Report,"In Ukraine, moderate poverty
            (according to the international measure of consumption per
            capita below dollar 5.50 per day in 2011 PPP) has started to
            decline, reaching an estimated 6.4 percent in 2016. This
            follows a doubling of the poverty incidence from 3.5 in 2014
            to 7.8 percent in 2015 due to the sharp recession and high
            inflation in This recent decline in poverty was driven by a
            rebound in the real sector including real wage growth,
            though poverty levels remain high compared to historical
            trends. According to a non-official national poverty measure
            calculated by the National Statistical Services, poverty
            declined further from 51.1 percent in 2016 to 34.9 percent
            in 2017. Such a national poverty measure is constant in
            terms of purchasing power, and thus suitable for monitoring
            trends over time, unlike the official nat",English
34390608,,2024,Brief,"IFC invests directly in companies’
            and financial institutions’ equity and also through private
            equity funds. IFC encourages companies it invests in to
            broaden share ownership through public listings, thereby
            deepening local capital markets. FIG’s equity strategy
            supports climate change, digital transformation, and
            financial inclusion, and plays a key role in mobilizing
            equity from other investors. FIG’s equity investments
            encompass all regions and include commercial banks,
            non-banking financial institutions, microfinance
            institutions, and insurance companies. FIG equity
            investments in financial institutions have largely been in
            transition economies with bank privatizations and
            transformations, crisis response investments, and with a
            focus on financial inclusion. IFC is increasingly
            prioritizing equity investm",English
31124039,,2018,Report,"After observing a period of steady
            poverty reduction between 2010 and 2015, the trend stalled
            in 2016 and 2017. Based on the national poverty line
            reported by the Georgian State Statistical Office, poverty
            moved from 37.3 percent in 2010 to 22.0 in 2016 and 21.9 in
            2017. Between 2015 and 2017 there was a small increase but
            within the statistical margin of error. During the period
            that spans between 2010-2015, increases in labor market
            opportunities, pension incomes, social assistance, and
            agricultural income were translated into sustained poverty
            reduction. The shared prosperity premium in Georgia was
            positive during 2011-16, mainly reflecting improvements in
            welfare for the bottom 40 percent of the population prior to
            2015. These increases also translated into reductions in
            inequality. Despite the reduction in inequalit",English
31124109,,2019,Report,"Armenia has accumulated continuous
            reductions in poverty since 2010, recovering the levels
            observed before the 2008 global economic crisis. The
            reduction of poverty since 2010 reflects the growth of the
            manufacturing and service sector in urban areas and modest
            growth in agricultural output in rural areas. The period
            between 2012 and 2017 showed slower consumption growth among
            the bottom 40 percent of the distribution compared to the
            total population (1.8 percent versus 3.2 percent), which has
            led to an increase of inequality in the country. Households
            in the bottom of the distribution are more likely to report
            skill deficits, and if they manage to escape unemployment,
            they work in lower productivity jobs.",English
25991145,,2015,Project Paper,"The objective of the Quality
            Improvement and Equity of Basic Education Project for
            Senegal is to improve learning outcomes for early grades and
            middle schools, and equity in access to basic education. The
            changes include: due to the phasing out of the EFA-FTI Trust
            Fund, which has an end disbursement date of April 30, 2016,
            the team is requesting an extension of the closing date of
            grant fund from October 30, 2015 to February 29, 2016. This
            will leave two months' grace period before the
            mandatory end disbursement date of the EFA-FTI Trust Fund.
            No other changes will be requested under this restructuring.
            The project closing date of January 31, 2018 will remain unchanged.",English
32193867,,2019,Report,"This poverty and equity brief focuses
            on the poverty and economic condition of Turkey as of
            October 2019.",English
30211433,,2018,Working Paper,"This report outlines the findings
            from an analysis of inequity in Russian pre-university
            education. The report seeks to answer to the following
            questions: what is the magnitude of educational inequity in
            Russia and what are its sources; what practices might
            potentially tackle inequity in Russian schools; and what are
            the potential economic benefits to the Russian Federation of
            dealing with educational inequities. The report uses data
            from standardized international assessments to compare
            Russian performance with other countries. The study uses the
            latest quantitative methods including a machine learning
            model to understand the dynamics connecting social inequity
            and inequity in educational outcomes. Further, the report
            examines the prevention and remediation measures by looking
            at the resilient schools in Russia and iden",English
32193794,,2020,Report,"This poverty and equity brief focuses
            on the poverty and economic condition of Turkey as of April 2020.",English
33233307,,2021,Poverty Assessment,"This poverty and equity report
            provides updated poverty and inequality statistics from the
            Grenada Survey of Living Conditions and Household Budget
            Survey (SLCHBS) conducted between 2018 and 2019 by the
            Central Statistical Office of Grenada. The SLCHBS 2018–2019
            is the third in a series of household surveys. The previous
            SLCHBS was done in 2008–2009 and is used in this report as a
            benchmark for trends comparison. The objective of these
            surveys is to assess the state of living conditions in
            Grenada, examine poverty and inequality trends, and develop
            a basket of goods and services that can be used to estimate
            the Consumer Price Index (CPI) for the country. The survey
            contains information on household expenditures, housing
            conditions, demographics, education, health, food security,
            safety and crime, persons with disabilitie",English
31147542,,2018,Report,"Among the many shifts of emphasis
            that have been evident in global health over the past
            twenty-five years or so, two stand out: a concern over the
            poor lagging behind the better off in progress towards
            global goals; and a concern to look beyond whether people
            get the services they need to the affordability of the
            out-of-pocket expenditures associated with these services.
            The World Bank's 2018 Health equity and financial
            protection indicators (HEFPI) database is a new global
            resource for tracking progress on both fronts. It is, in
            effect, the fourth in the series of such databases. The 2018
            database includes eighteen indicators of service use (twelve
            preventative, six curative) and twenty-eight health outcome
            indicators. The data are calculated from household surveys,
            identified mostly through searches of data catalogues ",English
32193835,,2019,Report,"This poverty and equity brief focuses
            on the poverty and economic condition of Turkey as of April 2019.",English
27528382,,2016,Brief,"Equity and inclusion are at the core
            of the World Bank Group’s twin goals of eradicating extreme
            poverty and building shared prosperity. Within the Education
            Global Practice, promoting equity and inclusion (E and I) is
            a core component of the Education Sector Strategy 2020
            (2011) which aims to help countries improve the capacity of
            their education systems to promote learning, including among
            the most disadvantaged populations. At the global level as
            well, equity is a guiding theme in the newly adopted
            Sustainable Development Goals. SABER-Equity and Inclusion
            aims to help countries ensure that children and youth from
            disadvantaged groups benefit from equitable access to a
            quality education.",English
32510162,,2020,Working Paper,"The main objective of the ‘Poverty
            and Equity in LAC’ program, led by the LAC Poverty and
            Equity Global Practice, is to help form the regional
            narrative on poverty and shared prosperity, while increasing
            the quality, availability, and use of indicators and
            micro-data in LAC. The author seeks to produce meaningful
            analytics using this data to inform evidence-based policy making.",English
24804637,,2014,Country Economic Memorandum,"Starting from the aggregate, this
            report first describes how Pernambuco has fared with respect
            to the rest of Brazil, both in terms of economic and social
            welfare performance, over the last decade (2001-2012). In a
            context of widespread economic growth, Pernambuco has done
            particularly well in recent years, similar to or above the
            national average. A key challenge concerns the longer-term,
            where – notwithstanding the positive performance of recent
            years-the same level of growth may not be as easily
            sustained. The solid economic performance has been reflected
            in an improvement of social indicators, also associated with
            the government's interiorizacao strategy, a policy
            developed explicitly to increase the coverage of public
            services in underserved areas, with a focus on the interior
            of the state. The decline in poverty ra",English
31214994,,2019,Report,"This poverty and equity brief
            discusses on the poverty and economic condition of Russia as
            of April 2019. The national poverty rate in Russia almost
            did not change in 2017 (13.2 percent) compared to previous
            years and declined by 0.5 percentage points in the first
            nine months of 2018. Real disposable incomes continued
            declining in 2017 and did not change in 2018. The growth
            rate of pensions and wages did not compensate for the
            contraction of other components of household incomes,
            including ones from business as well as informal activities.
            The poverty rate fell despite the stability of average real
            income partly because of the decrease in the poverty line in
            real terms and partly by the rebound in incomes at the
            bottom of the distribution.",English
30947745,,2019,Policy Research Working Paper,"Many microenterprises in developing
            countries have high returns to capital, but also face risky
            revenue streams. In principle, equity offers several
            advantages over debt when financing investments of this
            nature, but the use of equity in practice has been largely
            limited to investments in much larger firms. The authors
            develop a model contract to make self-liquidating,
            quasi-equity investments in microenterprises. This contract
            has three key parameters that can be used to shift risk
            between the entrepreneur and the investor, resulting in a
            continuum of contracts ranging from a debt-like contract
            that shifts little risk from the entrepreneur to a pure
            revenue-sharing contract in which the investor absorbs much
            more of the risk. The paper discusses implementation
            choices, and then provides lessons from a proof-of-concept
 ",English
13820098,,2011,Implementation Status and Results Report,{},English
